"","App","Category","Rating","Reviews","Size","Installs","Type","Price","Content.Rating","Genres","Last.Updated","Current.Ver","Android.Ver","countpos","countneut","counteg"
"4676","Random Love (BF)","FAMILY",3.7,3,10,"50+","Free",0,"Everyone","Entertainment","October 4, 2015","1.0.0","2.2 and up",NA,NA,NA
"4677","BF Family user","BUSINESS",4.3,8,26,"100+","Free",0,"Everyone","Business","February 1, 2018","0.0.9","4.1 and up",NA,NA,NA
"4678","Talking Boyfriend","FAMILY",2.9,1073,2.8,"100,000+","Free",0,"Everyone","Entertainment","August 28, 2016","1.1","2.3.3 and up",NA,NA,NA
"4679","Faketalk - Chatbot","GAME",4.2,63056,8.1,"1,000,000+","Free",0,"Teen","Word","July 3, 2018","1.9.7","2.3 and up",NA,NA,NA
"4680","XXX DISTILLERY","BUSINESS",4.2,509,3.2,"100,000+","Free",0,"Everyone","Business","August 2, 2017","1.1.0","4.0 and up",NA,NA,NA
"4681","Cute Questions BF","LIFESTYLE",4,3,3.3,"1,000+","Free",0,"Everyone","Lifestyle","June 2, 2018","3.0.0","4.4 and up",NA,NA,NA
"4682","BG Score","SPORTS",2.6,64,1.6,"10,000+","Free",0,"Everyone","Sports","July 26, 2017","2.1","4.0.3 and up",NA,NA,NA
"4683","BG Advisor™","TOOLS",4.4,7,5.6,"1,000+","Free",0,"Everyone","Tools","January 10, 2017","1.3","4.0.3 and up",NA,NA,NA
"4684","BG Products","AUTO_AND_VEHICLES",4.8,4,4.5,"500+","Free",0,"Everyone","Auto & Vehicles","November 28, 2017","1.3","5.0 and up",NA,NA,NA
"4685","BG LINKED (BGLINKED)","SOCIAL",4.7,22,11,"1,000+","Free",0,"Everyone","Social","January 19, 2018","v2.0.02_prod","4.1 and up",NA,NA,NA
"4686","BG Monitor Diabetes","MEDICAL",4.4,643,2.8,"10,000+","Free",0,"Everyone","Medical","April 23, 2017","8.0.1","4.4 and up",NA,NA,NA
"4687","BG Monitor Diabetes Pro","MEDICAL",4.6,87,2.8,"500+","Paid",5.99,"Everyone","Medical","April 23, 2017","8.0.1","4.4 and up",NA,NA,NA
"4688","HTC Sense Input-BG","TOOLS",2.7,198,2.8,"100,000+","Free",0,"Everyone","Tools","April 22, 2014","9.7.753080","4.1 and up",NA,NA,NA
"4689","Photo BG Changer","PHOTOGRAPHY",3.8,11,17,"1,000+","Free",0,"Everyone","Photography","February 21, 2018","1.3","4.1 and up",NA,NA,NA
"4690","BG TV App","FAMILY",1.7,6,2.9,"100+","Free",0,"Everyone","Entertainment","December 21, 2017","1.0","4.1 and up",NA,NA,NA
"4691","BG BRIDAL GALLERY","LIFESTYLE",4.6,17,19,"1,000+","Free",0,"Everyone","Lifestyle","June 27, 2018","2.1.1","4.4 and up",NA,NA,NA
"4692","HTC Sense Input - BG","TOOLS",3.3,218,4.1,"10,000+","Free",0,"Everyone","Tools","November 9, 2015","1.0.606877","5.0 and up",NA,NA,NA
"4693","BG Editor","PHOTOGRAPHY",4.3,0,8.4,"5+","Free",0,"Everyone","Photography","July 23, 2018","1.2","4.1 and up",NA,NA,NA
"4694","BG Sports News","NEWS_AND_MAGAZINES",4.3,41,5,"1,000+","Free",0,"Everyone","News & Magazines","February 9, 2016","1.0.0","3.0 and up",NA,NA,NA
"4695","Board Game Stats: Play tracking for tabletop games","LIFESTYLE",4.6,275,3.9,"5,000+","Paid",2.99,"Everyone","Lifestyle","July 17, 2018","2.8.3","4.1 and up",NA,NA,NA
"4696","Bg TV Online","FAMILY",2.3,50,2.8,"10,000+","Free",0,"Everyone","Entertainment","October 21, 2017","1.2","4.1 and up",NA,NA,NA
"4697","PhotoLayers<U+301C>Superimpose,Eraser","PHOTOGRAPHY",4.5,81219,2.6,"10,000,000+","Free",0,"Everyone","Photography","June 14, 2015","1.4.0","4.1 and up",NA,NA,NA
"4698","Zdravei.BG","SOCIAL",4.3,6,6.1,"1,000+","Free",0,"Mature 17+","Social","January 8, 2018","3.7.17","4.1 and up",NA,NA,NA
"4699","BG+Phone Backup","PRODUCTIVITY",4.8,16,2.6,"1,000+","Free",0,"Everyone","Productivity","February 17, 2017","1.0.3","2.3 and up",NA,NA,NA
"4700","BGKontakti London BG Kontakti","SOCIAL",4.3,4,8.9,"500+","Free",0,"Everyone","Social","March 23, 2017","1.2","3.0 and up",NA,NA,NA
"4701","ReactNative BG Geolocation","TOOLS",5,5,9.1,"1,000+","Free",0,"Everyone","Tools","May 25, 2018","2.12.0","4.1 and up",NA,NA,NA
"4702","BG TV Stations","FAMILY",4.3,0,2.9,"100+","Free",0,"Everyone","Entertainment","February 10, 2018","1.0","4.1 and up",NA,NA,NA
"4703","BG video - floating video - background video","VIDEO_PLAYERS",4.1,64,2,"5,000+","Free",0,"Everyone","Video Players & Editors","May 21, 2018","2.0","4.0 and up",NA,NA,NA
"4704","BG TV Program","FAMILY",4.3,1,2.8,"100+","Free",0,"Everyone","Entertainment","April 22, 2018","1.0","4.1 and up",NA,NA,NA
"4705","BG Cable TV","FAMILY",4.3,5,2.8,"1,000+","Free",0,"Everyone","Entertainment","February 25, 2018","1.0","4.1 and up",NA,NA,NA
"4706","BG Middle East","AUTO_AND_VEHICLES",4.3,1,9.4,"10+","Free",0,"Everyone","Auto & Vehicles","December 20, 2017","1.1","4.0 and up",NA,NA,NA
"4707","Blender BG - Photo Blend With Background","PHOTOGRAPHY",4.3,0,7.8,"100+","Free",0,"Everyone","Photography","September 20, 2017","1.0","4.2 and up",NA,NA,NA
"4708","BG MUSIC PLAYER - MUSIC PLAYER","VIDEO_PLAYERS",4.3,0,8.6,"100+","Free",0,"Everyone","Video Players & Editors","June 26, 2018","1.0","4.1 and up",NA,NA,NA
"4709","BG Future School","FAMILY",4.9,16,10,"100+","Free",0,"Everyone","Education","July 22, 2017","1.0","4.0.3 and up",NA,NA,NA
"4710","Simple Photo BG Changer","TOOLS",4.3,1,5.1,"10+","Free",0,"Everyone","Tools","June 8, 2018","1.0","2.3 and up",NA,NA,NA
"4711","BGKontakti Bayern BG Kontakti","SOCIAL",4.3,32,7.8,"1,000+","Free",0,"Everyone","Social","May 25, 2016","1.6","3.0 and up",NA,NA,NA
"4712","BGKontakti Vienna BG Kontakti","SOCIAL",4.8,111,5.9,"1,000+","Free",0,"Everyone","Social","July 18, 2018","2.42","4.1 and up",NA,NA,NA
"4713","CARS.bg","AUTO_AND_VEHICLES",4.5,276,1.7,"100,000+","Free",0,"Everyone","Auto & Vehicles","July 5, 2017","1.1.3","4.4 and up",NA,NA,NA
"4714","BG Torneos","SPORTS",4.3,7,2.3,"100+","Free",0,"Everyone","Sports","June 13, 2018","2.0.0","4.1 and up",NA,NA,NA
"4715","YourTube Video Views BG","VIDEO_PLAYERS",4.3,8,2.5,"500+","Free",0,"Everyone","Video Players & Editors","November 12, 2015","1.1.1","4.0 and up",NA,NA,NA
"4716","BG Television","FAMILY",4.3,3,2.8,"500+","Free",0,"Everyone","Entertainment","December 10, 2017","1.0","4.1 and up",NA,NA,NA
"4717","C<U+044A><U+043D><U+043E><U+0432><U+043D><U+0438><U+043A> BG","BOOKS_AND_REFERENCE",4.3,13,4.1,"1,000+","Free",0,"Everyone","Books & Reference","January 21, 2017","250","4.0 and up",NA,NA,NA
"4718","Auto Background Changer","PHOTOGRAPHY",4,35188,6.2,"1,000,000+","Free",0,"Everyone","Photography","February 22, 2018","1.0.11","3.2 and up",NA,NA,NA
"4719","Block Gun 3D: Call of Destiny","GAME",3.7,31883,20,"1,000,000+","Free",0,"Teen","Action","March 23, 2017","1.4.3","2.3 and up",NA,NA,NA
"4720","BG Remover & Eraser Pro","TOOLS",2.2,4,4.8,"500+","Free",0,"Everyone","Tools","April 3, 2018","3.0","2.3 and up",NA,NA,NA
"4721","BG Cricket","SPORTS",4.3,6,24,"500+","Free",0,"Everyone","Sports","June 14, 2018","2.4.4","4.2 and up",NA,NA,NA
"4722","BG Guide","TRAVEL_AND_LOCAL",5,3,2.4,"100+","Free",0,"Everyone","Travel & Local","November 28, 2016","1.1","2.3.3 and up",NA,NA,NA
"4723","Bg Radios - Bulgarian radio stations online","FAMILY",4.3,8,13,"1,000+","Free",0,"Everyone","Entertainment","July 13, 2018","1.3.2","4.1 and up",NA,NA,NA
"4724","BG-FLEET","TOOLS",4.3,0,1.8,"10+","Free",0,"Everyone","Tools","July 30, 2018","1.0","4.0.3 and up",NA,NA,NA
"4725","trip.bg","TRAVEL_AND_LOCAL",4.5,103,9.8,"1,000+","Free",0,"Everyone","Travel & Local","July 30, 2018","8.2.0","4.0.3 and up",NA,NA,NA
"4726","Dete.bg","NEWS_AND_MAGAZINES",4.3,0,29,"100+","Free",0,"Everyone","News & Magazines","June 12, 2017","1.2","4.1 and up",NA,NA,NA
"4727","BLOOD & GLORY: IMMORTALS","GAME",4.3,101762,11,"1,000,000+","Free",0,"Teen","Action","June 11, 2015","2.0.0","3.0 and up",NA,NA,NA
"4728","Change photo background","PHOTOGRAPHY",3.8,28660,6.4,"5,000,000+","Free",0,"Everyone","Photography","March 21, 2018","1.0.12","4.0.3 and up",NA,NA,NA
"4729","Es-Bg Offline Voice Translator","TRAVEL_AND_LOCAL",4.3,1,87,"10+","Paid",1.49,"Everyone","Travel & Local","March 19, 2017","2.55","3.0 and up",NA,NA,NA
"4730","Baldur's Gate: Enhanced Edition","FAMILY",4.5,20101,7.8,"100,000+","Paid",9.99,"Teen","Role Playing","October 2, 2015","1.3","3.0 and up",NA,NA,NA
"4731","Shadow Fight 2 Special Edition","GAME",4.5,10440,86,"50,000+","Paid",4.99,"Teen","Action","May 30, 2018","1.0.3","4.1 and up",NA,NA,NA
"4732","ePazar.bg","SHOPPING",4.3,28,2.1,"1,000+","Free",0,"Everyone","Shopping","January 7, 2017","3.0","3.0 and up",NA,NA,NA
"4733","Revita.bg","HEALTH_AND_FITNESS",4.8,10,4,"10+","Free",0,"Everyone","Health & Fitness","June 13, 2018","3.55","4.0 and up",NA,NA,NA
"4734","Background Eraser","PHOTOGRAPHY",4.5,267378,1.9,"10,000,000+","Free",0,"Everyone","Photography","July 11, 2015","1.4.6","4.0 and up",NA,NA,NA
"4735","ePay.bg","FINANCE",4.4,2017,2.4,"100,000+","Free",0,"Everyone","Finance","July 26, 2018","2.22","4.1 and up",NA,NA,NA
"4736","Top Novini BG","NEWS_AND_MAGAZINES",4.3,2,2.9,"100+","Free",0,"Everyone","News & Magazines","June 14, 2016","1.2","4.1 and up",NA,NA,NA
"4737","Block Gun 3D: Ghost Ops","GAME",3.9,142693,21,"5,000,000+","Free",0,"Teen","Action","June 7, 2018","1.4.0","2.3 and up",NA,NA,NA
"4738","Music for Youtube - Tube Music BG, Red+","VIDEO_PLAYERS",4.3,47,8.7,"1,000+","Free",0,"Teen","Video Players & Editors","September 23, 2017","1.10","4.2 and up",NA,NA,NA
"4739","Bg+ Call Blocker","TOOLS",4.3,80,1.7,"10,000+","Free",0,"Everyone","Tools","March 20, 2018","1.2","4.0 and up",NA,NA,NA
"4740","BG Blurry HD Wallpapers","FAMILY",4.3,1,5.1,"10+","Free",0,"Everyone","Entertainment","March 12, 2018","1.0.0.1","4.0 and up",NA,NA,NA
"4741","Background Changer & Eraser","PHOTOGRAPHY",4,2076,11,"500,000+","Free",0,"Teen","Photography","May 21, 2018","2.5","4.1 and up",NA,NA,NA
"4742","Stolica.bg","NEWS_AND_MAGAZINES",4.3,1,1.3,"50+","Free",0,"Everyone","News & Magazines","May 2, 2018","1.1","5.0 and up",NA,NA,NA
"4743","Cut Out : Background Eraser and background changer","PHOTOGRAPHY",4.1,7118,9.2,"1,000,000+","Free",0,"Everyone","Photography","June 29, 2018","1.6","4.0 and up",NA,NA,NA
"4744","mySugr: the blood sugar tracker made just for you","MEDICAL",4.6,21187,35,"1,000,000+","Free",0,"Everyone","Medical","July 23, 2018","3.52.0","5.0 and up",NA,NA,NA
"4745","Photo Background Changer 2018 - Blur Background","LIFESTYLE",3.7,34079,9.2,"5,000,000+","Free",0,"Everyone","Lifestyle","May 21, 2018","Arrow-202","4.1 and up",NA,NA,NA
"4746","BGCN TV","VIDEO_PLAYERS",3.4,4334,4.9,"100,000+","Free",0,"Everyone","Video Players & Editors","November 4, 2015","3.1.891","Varies with device",NA,NA,NA
"4747","ScorePal","TOOLS",4.5,1439,15,"10,000+","Free",0,"Everyone","Tools","July 9, 2018","2.10.7","4.3 and up",NA,NA,NA
"4748","Backgammon NJ for Android","GAME",4.4,1644,15,"10,000+","Paid",7.99,"Everyone","Board","April 5, 2017","4.1","2.3.3 and up",NA,NA,NA
"4749","BG Burger","FOOD_AND_DRINK",4.3,1,19,"10+","Free",0,"Everyone","Food & Drink","March 29, 2017","1.0","4.1 and up",NA,NA,NA
"4750","JOBS.bg","BUSINESS",4.4,1630,2.2,"100,000+","Free",0,"Everyone","Business","August 22, 2017","3.1.0","4.4 and up",NA,NA,NA
"4751","CSCS BG (<U+0432> <U+0431><U+044A><U+043B><U+0433><U+0430><U+0440><U+0441><U+043A><U+0438>)","FAMILY",2.4,7,2.1,"100+","Paid",3.99,"Everyone","Education","March 23, 2017","1.0","4.0.3 and up",NA,NA,NA
"4752","LEGO ® Batman: Beyond Gotham","FAMILY",4.1,10758,8,"100,000+","Paid",4.99,"Everyone 10+","Adventure;Action & Adventure","December 15, 2015","Varies with device","4.0.3 and up",NA,NA,NA
"4753","Blood Glucose Tracker","HEALTH_AND_FITNESS",4.6,9612,3.5,"100,000+","Free",0,"Everyone","Health & Fitness","May 18, 2018","1.8.12","4.4 and up",NA,NA,NA
"4754","Baldur's Gate II","FAMILY",4.3,5442,16,"50,000+","Paid",9.99,"Teen","Role Playing","June 28, 2018","2.5.16.6","3.0 and up",NA,NA,NA
"4755","Rento - Dice Board Game Online","GAME",4.3,205830,63,"10,000,000+","Free",0,"Everyone","Board","June 20, 2018","4.4.9","4.1 and up",NA,NA,NA
"4756","N+ News Bulgaria","NEWS_AND_MAGAZINES",4.3,2,10,"50+","Free",0,"Everyone","News & Magazines","August 2, 2017","1.0","4.0 and up",NA,NA,NA
"4757","Remix Second Hand","SHOPPING",4.2,867,7.5,"100,000+","Free",0,"Everyone","Shopping","August 2, 2018","1.5.8","4.4 and up",NA,NA,NA
"4758","Ultimate Background Eraser","PHOTOGRAPHY",4.3,14453,21,"1,000,000+","Free",0,"Everyone","Photography","March 13, 2018","1.9","4.1 and up",NA,NA,NA
"4759","OnTrack Diabetes","MEDICAL",4.3,6079,1.8,"500,000+","Free",0,"Everyone","Medical","January 17, 2018","3.2.7","2.1 and up",NA,NA,NA
"4760","Blur Image Background","PHOTOGRAPHY",3.9,129268,11,"10,000,000+","Free",0,"Everyone","Photography","July 30, 2018","1.32","4.1 and up",8,2,1
"4761","ALL-IN-ONE PACKAGE TRACKING","PRODUCTIVITY",4.7,167406,18,"1,000,000+","Free",0,"Everyone","Productivity","July 23, 2018","3.1.1281","4.0.3 and up",NA,NA,NA
"4762","Grabo.bg","SHOPPING",4.6,8175,3.2,"100,000+","Free",0,"Everyone","Shopping","April 5, 2018","3.2.3","4.0.3 and up",NA,NA,NA
"4763","GEM™","TOOLS",4.3,6,33,"500+","Free",0,"Everyone","Tools","July 23, 2018","1.93","5.0 and up",NA,NA,NA
"4764","Diabetes Connect","MEDICAL",4.5,4027,8.4,"100,000+","Free",0,"Everyone","Medical","October 10, 2017","2.4.1","4.0 and up",NA,NA,NA
"4765","B&H Photo Video Pro Audio","SHOPPING",4.6,17180,31,"1,000,000+","Free",0,"Everyone","Shopping","August 3, 2018","5.3.1","4.4 and up",NA,NA,NA
"4766","BH by Kinomap","HEALTH_AND_FITNESS",2.9,141,22,"10,000+","Free",0,"Everyone","Health & Fitness","July 30, 2018","3.2.9","4.1 and up",NA,NA,NA
"4767","BH Cosmetics","BEAUTY",4,2,3.6,"1,000+","Free",0,"Everyone","Beauty","May 29, 2018","1.0","4.0 and up",NA,NA,NA
"4768","BH Bikes Premium","SPORTS",3,26,15,"1,000+","Free",0,"Everyone","Sports","May 9, 2017","2.1.1","5.0 and up",NA,NA,NA
"4769","B&H Kids AR","BOOKS_AND_REFERENCE",3.9,286,18,"10,000+","Free",0,"Everyone","Books & Reference","September 29, 2017","3.2.5","4.0 and up",NA,NA,NA
"4770","BH Bikes GPS Locator","SPORTS",4.3,0,10,"10+","Free",0,"Everyone","Sports","July 19, 2018","1.0","5.0 and up",NA,NA,NA
"4771","BH Patrole","AUTO_AND_VEHICLES",4.8,27,2.5,"500+","Free",0,"Everyone","Auto & Vehicles","February 15, 2018","2.0","4.4 and up",NA,NA,NA
"4772","CINEMA.BH","FAMILY",3.9,11,16,"1,000+","Free",0,"Everyone","Entertainment","January 30, 2018","1.2.2","4.2 and up",NA,NA,NA
"4773","DSLR Photography Training apps","PHOTOGRAPHY",4,675,15,"100,000+","Free",0,"Everyone","Photography","July 29, 2017","2.1","2.3 and up",NA,NA,NA
"4774","Radio Belo Horizonte","FAMILY",4.3,0,4.3,"10+","Free",0,"Mature 17+","Entertainment","August 3, 2018","2","4.0 and up",NA,NA,NA
"4775","BH Online","FINANCE",4.3,0,4.6,"10+","Free",0,"Everyone","Finance","July 4, 2018","2.2.6","5.0 and up",NA,NA,NA
"4776","Belo Horizonte Map offline","TRAVEL_AND_LOCAL",4.3,11,18,"1,000+","Free",0,"Everyone","Travel & Local","July 12, 2018","1.73","4.3 and up",NA,NA,NA
"4777","Bh Public School","FAMILY",5,2,8.7,"10+","Free",0,"Everyone","Education","March 21, 2018","1.2","4.0.3 and up",NA,NA,NA
"4778","BH Mission Playbook","TRAVEL_AND_LOCAL",4.3,0,22,"100+","Free",0,"Everyone","Travel & Local","April 2, 2018","1.5.4","4.4 and up",NA,NA,NA
"4779","BH INVEST","FINANCE",4.3,7,1.1,"500+","Free",0,"Everyone","Finance","February 5, 2016","1.3","3.2 and up",NA,NA,NA
"4780","Comunidad BH","FAMILY",4.3,23,4.8,"1,000+","Free",0,"Everyone","Entertainment","November 9, 2016","1.3.9","2.3 and up",NA,NA,NA
"4781","VIVA BH","TOOLS",4,2055,2.6,"100,000+","Free",0,"Everyone","Tools","April 9, 2018","2.44","4.0 and up",NA,NA,NA
"4782","Discípulos em BH","SOCIAL",4.3,24,5.2,"100+","Free",0,"Everyone","Social","February 24, 2018","1.1.4","4.1 and up",NA,NA,NA
"4783","Barbers.BH","LIFESTYLE",5,2,6,"10+","Free",0,"Everyone","Lifestyle","May 24, 2018","2.1","4.0.3 and up",NA,NA,NA
"4784","BH - Fitness & Nutrition","HEALTH_AND_FITNESS",4.3,0,43,"1+","Free",0,"Everyone","Health & Fitness","July 4, 2018","4.3.6","4.1 and up",NA,NA,NA
"4785","Photo Editor - BPhoto","PHOTOGRAPHY",4.5,42,20,"1,000+","Free",0,"Everyone","Photography","September 17, 2016","1.2","4.2 and up",NA,NA,NA
"4786","BH Challenge - Museum of the Jewish People","FAMILY",4.8,12,28,"1,000+","Free",0,"Everyone","Education","March 26, 2018","1.3.6","4.2 and up",NA,NA,NA
"4787","B'H BURGER HEIM","LIFESTYLE",4.3,0,20,"10+","Free",0,"Everyone","Lifestyle","May 26, 2016","1.0","4.0 and up",NA,NA,NA
"4788","B y H Niños ES","BOOKS_AND_REFERENCE",4.6,53,16,"5,000+","Free",0,"Everyone","Books & Reference","September 22, 2015","1.0.2","2.3 and up",NA,NA,NA
"4789","Coomotaxi BH","BUSINESS",4.3,94,8.7,"5,000+","Free",0,"Everyone","Business","May 24, 2018","3.44.1","4.0.3 and up",NA,NA,NA
"4790","BH Mail","COMMUNICATION",3.4,7,6,"1,000+","Free",0,"Everyone","Communication","April 3, 2018","5.403","4.0.3 and up",NA,NA,NA
"4791","FitConsole","HEALTH_AND_FITNESS",2.6,219,1.8,"50,000+","Free",0,"Everyone","Health & Fitness","October 30, 2015","v1.1-20151030","4.0 and up",NA,NA,NA
"4792","Run on Earth","HEALTH_AND_FITNESS",2.4,577,3.7,"50,000+","Free",0,"Everyone","Health & Fitness","April 25, 2018","1.7.5","4.0 and up",NA,NA,NA
"4793","BH Rocking","TRAVEL_AND_LOCAL",4.3,13,3.2,"100+","Free",0,"Everyone","Travel & Local","January 17, 2018","1.0.7","4.1 and up",NA,NA,NA
"4794","Newegg Mobile","SHOPPING",4.5,35479,16,"1,000,000+","Free",0,"Everyone","Shopping","July 11, 2018","4.16.0","4.4 and up",NA,NA,NA
"4795","Battleheart Legacy","FAMILY",4.6,7420,7.4,"50,000+","Paid",4.99,"Teen","Role Playing","November 10, 2014","1.2.5","4.1 and up",NA,NA,NA
"4796","Treadmill Workouts Free (P)","HEALTH_AND_FITNESS",3.3,10,3.3,"1,000+","Free",0,"Everyone","Health & Fitness","April 5, 2018","1.8 P","4.4 and up",NA,NA,NA
"4797","ZiraatBank BH","FINANCE",4.1,58,3.5,"10,000+","Free",0,"Everyone","Finance","July 4, 2017","2.3.2","4.0 and up",NA,NA,NA
"4798","Digital Tourist BH Itinerary","TRAVEL_AND_LOCAL",4.6,19,14,"500+","Free",0,"Everyone","Travel & Local","October 13, 2015","0.9.2","2.2 and up",NA,NA,NA
"4799","BH Táxi","BUSINESS",3.9,91,8.9,"5,000+","Free",0,"Everyone","Business","June 7, 2018","3.44.2","4.0.3 and up",NA,NA,NA
"4800","BH Connect","SOCIAL",4.3,0,32,"1+","Free",0,"Teen","Social","March 22, 2018","1.4.4","4.0.3 and up",NA,NA,NA
"4801","Out of Bounds BH Demo","GAME",4.3,3,14,"10+","Free",0,"Everyone","Action","November 19, 2015","1.0","2.3.3 and up",NA,NA,NA
"4802","EduNAV.BH","FAMILY",4.3,3,3.8,"50+","Free",0,"Everyone","Education","February 12, 2018","1.2.0","4.3 and up",NA,NA,NA
"4803","BH Açaí","FOOD_AND_DRINK",4.3,3,4.7,"100+","Free",0,"Everyone","Food & Drink","May 29, 2018","7.0 RELEASE","4.0.3 and up",NA,NA,NA
"4804","BH Recepti","FOOD_AND_DRINK",4.3,3,9.9,"500+","Free",0,"Everyone","Food & Drink","August 16, 2016","1.2","4.0 and up",NA,NA,NA
"4805","Bi en Línea","FINANCE",4,5055,17,"100,000+","Free",0,"Everyone","Finance","March 5, 2018","4.4.1","4.4 and up",NA,NA,NA
"4806","Gayvox - Gay Lesbian Bi Dating","SOCIAL",3.4,3640,9.1,"500,000+","Free",0,"Mature 17+","Social","June 13, 2016","3.1.9","2.3 and up",NA,NA,NA
"4807","Microsoft Power BI–Business data analytics","BUSINESS",4.5,1819,10,"100,000+","Free",0,"Everyone","Business","July 16, 2018","2.2.180712.112152","5.0 and up",NA,NA,NA
"4808","BI Mobile Banking","FINANCE",4,180,27,"10,000+","Free",0,"Everyone","Finance","June 27, 2018","4.17.38","4.4 and up",NA,NA,NA
"4809","BI News","NEWS_AND_MAGAZINES",5,22,25,"1,000+","Free",0,"Everyone","News & Magazines","June 10, 2018","1.5.0","4.1 and up",NA,NA,NA
"4810","BI SmartLINK","BUSINESS",3.6,16,33,"5,000+","Free",0,"Everyone","Business","July 25, 2018","2.7.0","5.1 and up",NA,NA,NA
"4811","BI-LO","LIFESTYLE",3.5,43,30,"10,000+","Free",0,"Everyone","Lifestyle","July 11, 2018","2.0.0","4.1 and up",NA,NA,NA
"4812","Sisense Mobile BI","BUSINESS",4.9,23,28,"1,000+","Free",0,"Everyone","Business","April 30, 2018","2.4.1","4.1 and up",NA,NA,NA
"4813","Starg - Gay, Same Sex, Bi","DATING",3.7,66,7.3,"10,000+","Free",0,"Mature 17+","Dating","November 29, 2016","1.0.6","4.1 and up",NA,NA,NA
"4814","Propel BI APP","BUSINESS",5,3,23,"100+","Free",0,"Everyone","Business","July 24, 2018","1.39","4.4 and up",NA,NA,NA
"4815","BI APP","FINANCE",5,2,2.7,"100+","Free",0,"Everyone","Finance","February 19, 2016","1.8","4.0 and up",NA,NA,NA
"4816","Oracle BI Mobile","BUSINESS",4,282,7.7,"10,000+","Free",0,"Everyone","Business","August 1, 2018","20.0.0.0","6.0 and up",NA,NA,NA
"4817","bi-Cube Mobile Token","TOOLS",4.3,5,21,"1,000+","Free",0,"Everyone","Tools","April 26, 2018","8.9.2.0.0","4.0.3 and up",NA,NA,NA
"4818","Business Intelligence & Data","FAMILY",4.9,7,3.5,"1,000+","Free",0,"Everyone","Education","July 26, 2016","1.0","2.0 and up",NA,NA,NA
"4819","BI Mobile","FINANCE",4.4,337,3.3,"10,000+","Free",0,"Everyone","Finance","March 15, 2018","1.0","4.0.3 and up",NA,NA,NA
"4820","Grindr - Gay chat","SOCIAL",3.6,284795,31,"10,000,000+","Free",0,"Mature 17+","Social","August 3, 2018","4.1.2","4.3 and up",NA,NA,NA
"4821","Zoho Reports - Mobile BI","BUSINESS",4.7,45,12,"5,000+","Free",0,"Everyone","Business","May 23, 2018","2.0.5","4.1 and up",NA,NA,NA
"4822","Power BI Ultimate Orientation","FAMILY",4.3,12,8.1,"5,000+","Free",0,"Everyone","Education","February 6, 2017","1.0.1","4.0 and up",NA,NA,NA
"4823","Pool Billiards Classic - bi a","SPORTS",3.9,5644,14,"1,000,000+","Free",0,"Everyone","Sports","November 1, 2017","1.7","4.0.3 and up",NA,NA,NA
"4824","Lesbian Chat & Dating - SPICY","SOCIAL",4.5,63765,11,"1,000,000+","Free",0,"Mature 17+","Social","July 31, 2018","4.17.2","4.1 and up",NA,NA,NA
"4825","Bi-Tank","GAME",4.6,12,18,"50+","Free",0,"Everyone","Arcade","July 31, 2017","Varies with device","4.1 and up",NA,NA,NA
"4826","MinT BI","PRODUCTIVITY",4.3,0,2.9,"10+","Free",0,"Everyone","Productivity","January 13, 2018","3.1","4.2 and up",NA,NA,NA
"4827","MeetMe: Chat & Meet New People","SOCIAL",4.2,1259723,76,"50,000,000+","Free",0,"Mature 17+","Social","August 3, 2018","Varies with device","4.1 and up",NA,NA,NA
"4828","TED","FAMILY",4.6,181961,18,"10,000,000+","Free",0,"Everyone 10+","Education","July 27, 2018","3.2.5","4.1 and up",NA,NA,NA
"4829","Learn English Vocabulary - 6,000 Words","FAMILY",4.5,205914,54,"10,000,000+","Free",0,"Everyone","Education","August 3, 2018","5.54","4.1 and up",NA,NA,NA
"4830","English Dictionary - Offline","BOOKS_AND_REFERENCE",4.4,341234,30,"10,000,000+","Free",0,"Everyone 10+","Books & Reference","March 20, 2018","3.9.1","4.2 and up",NA,NA,NA
"4831","All Language Translator","TOOLS",4,29944,2.1,"5,000,000+","Free",0,"Everyone","Tools","October 3, 2015","1.6","2.3 and up",NA,NA,NA
"4832","Bike Rivals","GAME",4.2,212067,48,"10,000,000+","Free",0,"Everyone","Racing","July 15, 2015","1.5.2","2.3.3 and up",NA,NA,NA
"4833","Bingo Party - Free Bingo Games","GAME",4.7,155694,92,"1,000,000+","Free",0,"Teen","Board","July 13, 2018","2.1.1","4.0.3 and up",NA,NA,NA
"4834","OkCupid Dating","DATING",4.1,285838,15,"10,000,000+","Free",0,"Mature 17+","Dating","July 30, 2018","11.10.1","4.1 and up",NA,NA,NA
"4835","Little Big City 2","FAMILY",4.4,344383,30,"10,000,000+","Free",0,"Everyone","Casual","March 20, 2018","9.2.4","4.0.3 and up",NA,NA,NA
"4836","English Grammar Test","FAMILY",4.6,104676,2.6,"5,000,000+","Free",0,"Everyone","Education","July 18, 2018","1.9.7","4.0 and up",NA,NA,NA
"4837","BJ's Wholesale Club","SHOPPING",4.2,4099,17,"100,000+","Free",0,"Everyone","Shopping","July 27, 2018","2.0.10","4.1 and up",NA,NA,NA
"4838","BJ’s Mobile App","SHOPPING",4,4722,35,"500,000+","Free",0,"Everyone","Shopping","July 9, 2018","3.6.5","4.1 and up",NA,NA,NA
"4839","BJ's Express Scan","SHOPPING",2.3,69,11,"10,000+","Free",0,"Everyone","Shopping","March 19, 2018","1.0.16","4.4 and up",NA,NA,NA
